City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
Lebanon,AA-10375,2018-11-13,CA-2015-114503,2018-11-17,Standard Class,Tennessee,37087
Philadelphia,RB-19465,2019-08-21,US-2016-146066,2019-08-23,Second Class,Pennsylvania,19143
San Francisco,EB-13750,2019-09-24,US-2016-147340,2019-09-24,Same Day,California,94110
Lafayette,SM-20320,2020-07-09,CA-2017-145128,2020-07-14,Standard Class,Indiana,47905
Troy,SV-20365,2019-11-10,US-2016-136581,2019-11-12,First Class,Ohio,45373
San Francisco,DB-13615,2020-09-21,CA-2017-133074,2020-09-25,Standard Class,California,94109
San Francisco,TZ-21580,2020-11-25,CA-2017-101665,2020-12-01,Standard Class,California,94122
Mount Vernon,JA-15970,2020-09-29,CA-2017-128335,2020-10-05,Standard Class,New York,10550
Dallas,FO-14305,2020-06-19,CA-2017-141992,2020-06-25,Standard Class,Texas,75220
Andover,PS-18760,2019-03-09,CA-2016-153269,2019-03-12,First Class,Massachusetts,1810
Provo,AS-10225,2020-09-17,CA-2017-112515,2020-09-21,Second Class,Utah,84604
New York City,QJ-19255,2018-11-01,CA-2015-130995,2018-11-06,Standard Class,New York,10009
Houston,PT-19090,2017-09-12,US-2014-150924,2017-09-16,Second Class,Texas,77070
New York City,CD-11920,2017-03-24,CA-2014-147235,2017-03-28,Standard Class,New York,10024
Santa Maria,NC-18415,2018-04-18,US-2015-113593,2018-04-20,First Class,California,93454
Quincy,FM-14290,2020-07-03,US-2017-129777,2020-07-09,Standard Class,Massachusetts,2169
Charlotte,Dp-13240,2020-10-07,CA-2017-148404,2020-10-11,Standard Class,North Carolina,28205
Tucson,DB-13615,2020-05-06,CA-2017-145779,2020-05-10,Standard Class,Arizona,85705
Lakewood,VG-21805,2020-03-19,CA-2017-166499,2020-03-20,First Class,New Jersey,8701
San Francisco,PO-18850,2018-05-01,CA-2015-104486,2018-05-06,Standard Class,California,94109
Glendale,EM-14140,2020-11-12,CA-2017-134915,2020-11-12,Same Day,Arizona,85301
Woodstock,TM-21010,2017-02-21,CA-2014-165540,2017-02-25,Standard Class,Illinois,60098
Chicago,EP-13915,2020-09-03,US-2017-122637,2020-09-08,Second Class,Illinois,60653
Noblesville,AS-10285,2019-11-11,US-2016-164196,2019-11-17,Standard Class,Indiana,46060
New York City,MT-17815,2020-03-13,US-2017-146906,2020-03-17,Standard Class,New York,10011
Houston,ZC-21910,2020-06-19,US-2017-102288,2020-06-23,Standard Class,Texas,77095
San Francisco,FG-14260,2020-10-15,CA-2017-106033,2020-10-18,Second Class,California,94110
Lakewood,TZ-21580,2018-12-04,CA-2015-119508,2018-12-09,Standard Class,California,90712
Saint Louis,NP-18670,2020-11-02,CA-2017-167227,2020-11-05,First Class,Missouri,63116
Seattle,AS-10285,2019-11-04,CA-2016-163755,2019-11-08,Second Class,Washington,98103
Columbia,TS-21505,2017-12-20,CA-2014-134551,2017-12-25,Standard Class,Tennessee,38401
New York City,KD-16345,2018-11-19,CA-2015-145814,2018-11-24,Standard Class,New York,10035
Philadelphia,EH-14185,2017-10-25,CA-2014-139542,2017-10-29,Standard Class,Pennsylvania,19120
Houston,DW-13195,2019-11-20,US-2016-127971,2019-11-27,Standard Class,Texas,77095
Houston,HG-14845,2020-03-20,CA-2017-122763,2020-03-20,Same Day,Texas,77041
New York City,TC-21535,2018-06-04,US-2015-142020,2018-06-08,Second Class,New York,10024
Los Angeles,JM-16195,2018-02-15,CA-2015-116092,2018-02-18,Second Class,California,90004
Roswell,KM-16660,2018-12-10,US-2015-168732,2018-12-16,Standard Class,Georgia,30076
San Diego,MJ-17740,2019-06-24,CA-2016-100300,2019-06-26,Second Class,California,92037
San Diego,ED-13885,2017-08-09,CA-2014-110527,2017-08-16,Standard Class,California,92037
Arlington,LE-16810,2019-05-19,CA-2016-157245,2019-05-24,Standard Class,Virginia,22204
Houston,DO-13645,2018-11-07,CA-2015-126669,2018-11-13,Standard Class,Texas,77036
Houston,KC-16540,2019-11-14,CA-2016-134691,2019-11-18,Standard Class,Texas,77041
San Diego,JP-16135,2018-07-04,CA-2015-152513,2018-07-08,Second Class,California,92024
Seattle,CM-11815,2019-09-23,CA-2016-110730,2019-09-26,Second Class,Washington,98115
Chicago,DB-13060,2020-09-15,CA-2017-132353,2020-09-17,First Class,Illinois,60653
Dallas,AH-10210,2020-11-23,CA-2017-166919,2020-11-27,Standard Class,Texas,75220
New York City,PK-19075,2020-08-21,US-2017-102183,2020-08-28,Standard Class,New York,10035
Detroit,KL-16645,2020-04-09,CA-2017-112900,2020-04-12,Second Class,Michigan,48205
San Francisco,IL-15100,2017-08-01,CA-2014-152296,2017-08-03,First Class,California,94122
New York City,JK-15640,2018-03-16,US-2015-150231,2018-03-20,Second Class,New York,10009
New York City,CS-11860,2017-06-30,US-2014-121566,2017-07-06,Standard Class,New York,10011
Seattle,NP-18700,2019-11-05,CA-2016-125094,2019-11-09,Standard Class,Washington,98105
Atlanta,BF-11170,2019-01-31,CA-2016-159891,2019-02-06,Standard Class,Georgia,30318
New Bedford,CM-12160,2020-08-18,CA-2017-162936,2020-08-22,Standard Class,Massachusetts,2740
Phoenix,AB-10105,2020-09-19,CA-2017-153822,2020-09-25,Standard Class,Arizona,85023
Dallas,DB-13660,2020-03-25,CA-2017-101077,2020-03-30,Second Class,Texas,75081
Philadelphia,BN-11470,2018-04-16,CA-2015-106215,2018-04-21,Standard Class,Pennsylvania,19143
Florence,SB-20290,2020-09-09,CA-2017-147361,2020-09-15,Standard Class,South Carolina,29501
Edmonds,ZC-21910,2017-10-13,CA-2014-151995,2017-10-15,First Class,Washington,98026
Virginia Beach,MW-18235,2017-05-21,CA-2014-117639,2017-05-25,Standard Class,Virginia,23464
Kent,AI-10855,2017-05-10,CA-2014-159709,2017-05-15,Standard Class,Washington,98031
New York City,BM-11650,2018-11-20,CA-2015-100454,2018-11-25,Standard Class,New York,10035
Los Angeles,PW-19030,2019-08-22,CA-2016-140256,2019-08-29,Standard Class,California,90049
Chicago,LS-16975,2017-10-20,CA-2014-137092,2017-10-22,Second Class,Illinois,60653
Los Angeles,MA-17995,2017-09-20,CA-2014-133704,2017-09-26,Standard Class,California,90004
New York City,PN-18775,2019-09-10,US-2016-118780,2019-09-14,Second Class,New York,10011
Akron,MD-17350,2020-09-04,CA-2017-109757,2020-09-09,Second Class,Ohio,44312
Jackson,TM-21010,2017-04-30,CA-2014-156006,2017-05-02,Second Class,Mississippi,39212
San Francisco,JM-16195,2018-11-05,CA-2015-145485,2018-11-05,Same Day,California,94109
Los Angeles,HP-14815,2017-05-06,CA-2014-121664,2017-05-10,Standard Class,California,90049
Los Angeles,GB-14530,2018-09-18,CA-2015-167745,2018-09-23,Standard Class,California,90049
Saint Peters,RD-19660,2019-03-20,CA-2016-127670,2019-03-24,Standard Class,Missouri,63376
Fayetteville,MD-17350,2018-12-27,CA-2015-134782,2018-12-31,Standard Class,Arkansas,72701
Chicago,HW-14935,2020-09-04,CA-2017-140326,2020-09-06,First Class,Illinois,60653
San Antonio,LF-17185,2017-07-26,CA-2014-169019,2017-07-30,Standard Class,Texas,78207
Austin,JB-15925,2018-12-12,US-2015-167220,2018-12-16,Standard Class,Texas,78745
Philadelphia,CS-11950,2017-11-18,US-2014-159926,2017-11-22,Standard Class,Pennsylvania,19140
New York City,AG-10525,2018-09-07,CA-2015-164084,2018-09-12,Standard Class,New York,10011
Los Angeles,RW-19540,2018-09-19,CA-2015-132815,2018-09-22,Second Class,California,90008
Decatur,AH-10465,2020-04-02,CA-2017-145275,2020-04-06,Standard Class,Alabama,35601
Lodi,JK-15730,2020-09-29,CA-2017-137918,2020-10-06,Standard Class,California,95240
Arlington,AS-10045,2019-03-28,CA-2016-162901,2019-03-31,First Class,Virginia,22204
New York City,JK-15370,2019-08-21,CA-2016-122581,2019-08-25,Standard Class,New York,10035
Chicago,CS-11950,2019-09-03,CA-2016-159737,2019-09-09,Standard Class,Illinois,60610
Jackson,NF-18385,2020-08-21,CA-2017-155705,2020-08-23,Second Class,Mississippi,39212
Colorado Springs,HG-14965,2018-12-08,CA-2015-156118,2018-12-12,Standard Class,Colorado,80906
Chicago,LD-16855,2019-06-26,CA-2016-152331,2019-06-30,Standard Class,Illinois,60653
Quincy,CP-12085,2020-08-29,CA-2017-144064,2020-09-01,First Class,Illinois,62301
Seattle,SF-20200,2019-09-12,CA-2016-128811,2019-09-16,Standard Class,Washington,98103
Fairfield,SM-20950,2018-08-28,CA-2015-107902,2018-09-02,Standard Class,Connecticut,6824
Oklahoma City,TS-21430,2019-11-13,CA-2016-128972,2019-11-17,Standard Class,Oklahoma,73120
Bethlehem,OT-18730,2019-07-28,CA-2016-107783,2019-07-29,First Class,Pennsylvania,18018
Lancaster,CS-12505,2019-11-25,CA-2016-108196,2019-12-02,Standard Class,Ohio,43130
New York City,KA-16525,2017-03-11,CA-2014-158337,2017-03-14,Second Class,New York,10024
San Marcos,MC-17590,2017-05-20,CA-2014-130673,2017-05-22,Second Class,Texas,78666
Columbus,EA-14035,2017-12-05,CA-2014-151162,2017-12-09,Standard Class,Ohio,43229
Tampa,TG-21640,2017-03-31,CA-2014-130428,2017-03-31,Same Day,Florida,33614
Mesa,CA-12775,2018-07-26,US-2015-140200,2018-07-28,First Class,Arizona,85204
Lakewood,JK-15640,2017-09-23,CA-2014-147900,2017-09-28,Standard Class,Ohio,44107
Seattle,KB-16405,2018-11-20,CA-2015-112305,2018-11-25,Standard Class,Washington,98105
San Francisco,MK-18160,2020-05-03,CA-2017-163209,2020-05-07,Standard Class,California,94122
Tucson,LP-17080,2017-06-24,CA-2014-159814,2017-06-28,Standard Class,Arizona,85705
Chicago,SC-20575,2020-08-19,CA-2017-101728,2020-08-23,Standard Class,Illinois,60653
Newark,JE-15745,2018-11-21,US-2015-101511,2018-11-23,Second Class,Ohio,43055
Kent,SB-20290,2019-11-18,CA-2016-158575,2019-11-24,Standard Class,Ohio,44240
Los Angeles,SP-20860,2019-11-24,US-2016-163881,2019-11-30,Standard Class,California,90036
Salem,BM-11785,2018-03-20,CA-2015-165813,2018-03-22,Second Class,Oregon,97301
Providence,BD-11320,2020-04-12,CA-2017-122735,2020-04-15,Second Class,Rhode Island,2908
Smyrna,SH-19975,2019-09-22,CA-2016-109743,2019-09-29,Standard Class,Tennessee,37167
Waynesboro,LL-16840,2018-04-16,CA-2015-137974,2018-04-18,First Class,Virginia,22980
Waukesha,JJ-15445,2019-09-03,CA-2016-163986,2019-09-10,Standard Class,Wisconsin,53186
El Paso,SC-20380,2017-03-01,CA-2014-131009,2017-03-05,Standard Class,Texas,79907
Lawrence,DB-13405,2018-08-08,CA-2015-129322,2018-08-10,Second Class,Massachusetts,1841
Philadelphia,PB-19105,2020-11-03,US-2017-101518,2020-11-08,Standard Class,Pennsylvania,19140
Philadelphia,BG-11740,2020-04-17,CA-2017-119389,2020-04-19,First Class,Pennsylvania,19120
Louisville,PW-19240,2017-11-18,CA-2014-164210,2017-11-20,Second Class,Colorado,80027
Miami,RA-19945,2017-08-29,CA-2014-169775,2017-09-02,Second Class,Florida,33178
New York City,LF-17185,2020-02-16,CA-2017-118521,2020-02-20,Standard Class,New York,10035
Newark,KH-16330,2020-06-19,CA-2017-128944,2020-06-21,Second Class,Ohio,43055
El Paso,MN-17935,2017-07-11,CA-2014-123225,2017-07-14,First Class,Texas,79907
Lake Elsinore,CD-11920,2018-11-27,CA-2015-101910,2018-12-03,Standard Class,California,92530
Hickory,DB-13210,2019-11-30,US-2016-134761,2019-11-30,Same Day,North Carolina,28601
Chandler,ND-18460,2017-09-19,CA-2014-138177,2017-09-24,Standard Class,Arizona,85224
Anaheim,DK-13225,2020-06-29,CA-2017-100650,2020-07-03,Second Class,California,92804
Edmonds,BD-11770,2019-09-10,CA-2016-165918,2019-09-14,Standard Class,Washington,98026
New York City,RB-19705,2020-09-14,CA-2017-152975,2020-09-16,First Class,New York,10035
Burbank,SC-20050,2017-03-18,US-2014-131275,2017-03-24,Standard Class,California,91505
Philadelphia,JO-15280,2017-03-31,CA-2014-112403,2017-03-31,Same Day,Pennsylvania,19120
Kent,SB-20185,2020-06-12,CA-2017-119424,2020-06-14,Second Class,Washington,98031
Quincy,SJ-20215,2019-09-30,CA-2016-108644,2019-10-03,First Class,Illinois,62301
Seattle,DK-12895,2020-08-12,CA-2017-152310,2020-08-19,Standard Class,Washington,98103
Chicago,EA-14035,2019-02-16,CA-2016-168956,2019-02-20,Standard Class,Illinois,60623
Marion,DK-13375,2018-12-06,CA-2015-131884,2018-12-06,Same Day,Ohio,43302
Bayonne,PO-19195,2018-09-25,CA-2015-156335,2018-09-28,Second Class,New Jersey,7002
Carrollton,DP-13000,2017-11-12,CA-2014-122609,2017-11-18,Standard Class,Texas,75007
New York City,PW-19030,2019-10-14,CA-2016-113607,2019-10-18,Standard Class,New York,10009
Seattle,GW-14605,2020-07-29,US-2017-113852,2020-08-02,Standard Class,Washington,98115
Peoria,SV-20935,2020-12-02,CA-2017-147767,2020-12-02,Same Day,Arizona,85345
Norfolk,SS-20590,2018-04-13,CA-2015-120551,2018-04-20,Standard Class,Nebraska,68701
Royal Oak,NC-18415,2018-06-09,CA-2015-144190,2018-06-13,Standard Class,Michigan,48073
New York City,MO-17500,2019-09-06,CA-2016-102981,2019-09-09,Second Class,New York,10035
Lancaster,MJ-17740,2019-04-23,CA-2016-124149,2019-04-26,First Class,Ohio,43130
San Francisco,TR-21325,2017-12-01,CA-2014-131051,2017-12-05,Standard Class,California,94122
Seattle,TT-21070,2020-11-13,CA-2017-122490,2020-11-18,Standard Class,Washington,98103
Mobile,PJ-19015,2017-04-07,CA-2014-124023,2017-04-10,First Class,Alabama,36608
Los Angeles,DV-13465,2020-06-11,US-2017-152002,2020-06-11,Same Day,California,90004
Houston,JL-15850,2017-07-22,US-2014-164644,2017-07-24,Second Class,Texas,77095
Denver,RH-19495,2020-11-28,CA-2017-121538,2020-12-01,First Class,Colorado,80219
San Francisco,SP-20620,2019-12-08,CA-2016-131289,2019-12-14,Standard Class,California,94110
Highland Park,KH-16330,2019-06-27,CA-2016-153577,2019-07-01,Standard Class,Illinois,60035
Louisville,JW-15955,2019-12-27,CA-2016-111605,2020-01-02,Standard Class,Kentucky,40214
San Bernardino,KH-16510,2018-11-13,CA-2015-104948,2018-11-17,Standard Class,California,92404
Dallas,DB-13270,2020-06-19,CA-2017-154011,2020-06-26,Standard Class,Texas,75081
Richmond,PW-19030,2020-08-05,CA-2017-117695,2020-08-08,First Class,Kentucky,40475
San Francisco,BD-11620,2019-10-01,CA-2016-157686,2019-10-02,First Class,California,94122
Los Angeles,MV-18190,2019-06-17,CA-2016-123512,2019-06-19,First Class,California,90045
Houston,HZ-14950,2020-11-21,CA-2017-157420,2020-11-21,Same Day,Texas,77095
Springfield,CA-12265,2019-02-07,CA-2016-106894,2019-02-07,Same Day,Virginia,22153
New York City,GM-14680,2019-09-30,CA-2016-106243,2019-10-04,Standard Class,New York,10011
Seattle,PP-18955,2017-09-29,CA-2014-126683,2017-10-01,Second Class,Washington,98115
Charlotte,PS-19045,2020-01-21,CA-2017-160423,2020-01-26,Standard Class,North Carolina,28205
Gresham,JH-16180,2019-11-21,US-2016-114293,2019-11-26,Standard Class,Oregon,97030
Peoria,BC-11125,2020-06-11,US-2017-120418,2020-06-12,First Class,Arizona,85345
Vancouver,JW-15220,2020-10-30,CA-2017-139661,2020-11-03,Standard Class,Washington,98661
San Francisco,BD-11725,2020-08-03,CA-2017-168396,2020-08-08,Second Class,California,94122
Daytona Beach,RD-19720,2018-12-21,CA-2015-112375,2018-12-27,Standard Class,Florida,32114
Omaha,AA-10375,2018-02-03,CA-2015-140921,2018-02-05,First Class,Nebraska,68104
Lawrence,BD-11605,2018-12-26,CA-2015-158792,2019-01-02,Standard Class,Massachusetts,1841
New York City,PB-19150,2017-11-29,US-2014-111353,2017-12-06,Standard Class,New York,10009
Baltimore,NS-18640,2018-08-07,US-2015-117492,2018-08-09,First Class,Maryland,21215
San Diego,RA-19285,2018-12-25,CA-2015-111780,2018-12-30,Second Class,California,92037
Dallas,ME-17320,2018-06-19,CA-2015-144302,2018-06-23,Standard Class,Texas,75081
San Francisco,DC-13285,2020-10-07,CA-2017-104003,2020-10-13,Standard Class,California,94110
Milwaukee,HR-14770,2018-08-09,CA-2015-103954,2018-08-13,Second Class,Wisconsin,53209
Buffalo,GT-14710,2017-11-17,CA-2014-128209,2017-11-22,Standard Class,New York,14215
Columbia,PN-18775,2019-09-14,CA-2016-155439,2019-09-18,Standard Class,South Carolina,29203
Lawrence,DO-13645,2020-08-19,CA-2017-115777,2020-08-24,Standard Class,Massachusetts,1841
Seattle,CC-12145,2019-08-26,CA-2016-148201,2019-08-29,Second Class,Washington,98103
Cary,RR-19525,2018-12-15,CA-2015-150308,2018-12-20,Standard Class,North Carolina,27511
Philadelphia,JD-15895,2017-04-13,CA-2014-122336,2017-04-17,Second Class,Pennsylvania,19140
San Francisco,HJ-14875,2019-11-17,CA-2016-118500,2019-11-18,First Class,California,94122
Houston,TC-20980,2017-11-07,CA-2014-123498,2017-11-09,First Class,Texas,77041
Florence,DC-12850,2020-06-04,CA-2017-100426,2020-06-08,Standard Class,Alabama,35630
Springfield,JA-15970,2017-09-17,CA-2014-131947,2017-09-22,Standard Class,Oregon,97477
Hempstead,DP-13105,2019-12-06,CA-2016-162390,2019-12-12,Standard Class,New York,11550
Philadelphia,DK-12835,2020-04-24,CA-2017-149489,2020-04-27,First Class,Pennsylvania,19143
Spokane,JF-15415,2018-04-05,CA-2015-102855,2018-04-06,Same Day,Washington,99207
Los Angeles,MO-17800,2018-09-17,CA-2015-133025,2018-09-19,Second Class,California,90036
Los Angeles,BP-11290,2019-04-12,CA-2016-142398,2019-04-16,Standard Class,California,90036
Philadelphia,RB-19330,2017-11-17,CA-2014-159835,2017-11-24,Standard Class,Pennsylvania,19143
Edinburg,SC-20800,2020-11-30,CA-2017-102267,2020-12-04,Standard Class,Texas,78539
San Francisco,BT-11680,2019-04-10,CA-2016-123358,2019-04-17,Standard Class,California,94122
Newark,TH-21115,2017-09-23,CA-2014-148369,2017-09-27,Standard Class,Delaware,19711
Louisville,PO-19180,2019-09-12,CA-2016-151148,2019-09-13,Same Day,Colorado,80027
Thornton,LC-16870,2020-12-03,CA-2017-118017,2020-12-06,Second Class,Colorado,80229
Belleville,JD-15895,2019-10-28,CA-2016-142545,2019-11-03,Standard Class,New Jersey,7109
Bowling Green,MS-17710,2018-08-24,CA-2015-123939,2018-08-26,Second Class,Ohio,43402
Los Angeles,EH-13945,2020-05-22,CA-2017-153080,2020-05-25,Second Class,California,90008
Los Angeles,XP-21865,2019-11-03,CA-2016-109365,2019-11-08,Standard Class,California,90049
New York City,LC-17140,2020-09-22,CA-2017-162789,2020-09-24,Second Class,New York,10035
San Francisco,EM-13810,2018-07-16,CA-2015-113404,2018-07-16,Same Day,California,94122
Rochester,SP-20860,2018-09-05,CA-2015-105158,2018-09-10,Standard Class,Minnesota,55901
New York City,EB-13870,2019-10-03,CA-2016-144939,2019-10-08,Standard Class,New York,10035
Jackson,KD-16495,2018-12-10,CA-2015-121650,2018-12-16,Standard Class,Michigan,49201
New York City,AD-10180,2018-07-04,CA-2015-124268,2018-07-08,Standard Class,New York,10035
Dallas,BP-11185,2018-08-28,CA-2015-166219,2018-09-01,Standard Class,Texas,75081
Charlotte,JE-15715,2019-09-02,CA-2016-106950,2019-09-06,Standard Class,North Carolina,28205
Little Rock,CM-12235,2019-05-01,CA-2016-101525,2019-05-04,Second Class,Arkansas,72209
New York City,LC-16885,2019-12-22,CA-2016-103359,2019-12-26,Standard Class,New York,10035
Houston,NC-18340,2017-05-04,CA-2014-111899,2017-05-05,First Class,Texas,77036
Chicago,BF-11170,2018-05-13,CA-2015-145835,2018-05-18,Second Class,Illinois,60623
New York City,CK-12760,2019-11-13,CA-2016-101336,2019-11-18,Standard Class,New York,10011
Salem,TH-21100,2019-05-09,CA-2016-159765,2019-05-12,Second Class,Virginia,24153
Edmonds,DW-13585,2019-08-07,CA-2016-148516,2019-08-11,Standard Class,Washington,98026
Chesapeake,CC-12220,2017-11-14,CA-2014-161634,2017-11-20,Standard Class,Virginia,23320
Los Angeles,MM-18280,2018-09-22,CA-2015-168760,2018-09-26,Second Class,California,90049
Columbus,MM-17260,2020-02-11,CA-2017-138156,2020-02-14,First Class,Ohio,43229
Philadelphia,CK-12205,2018-03-28,CA-2015-135363,2018-04-02,Standard Class,Pennsylvania,19120
Houston,NS-18640,2019-02-02,CA-2016-144645,2019-02-08,Standard Class,Texas,77041
Philadelphia,CC-12220,2020-06-26,CA-2017-161410,2020-07-03,Standard Class,Pennsylvania,19143
Park Ridge,JS-15940,2018-01-17,US-2015-101399,2018-01-24,Standard Class,Illinois,60068
New York City,AS-10225,2018-05-04,CA-2015-144253,2018-05-09,Second Class,New York,10024
Greensboro,BG-11035,2020-12-02,CA-2017-165715,2020-12-08,Standard Class,North Carolina,27405
Glendale,PG-18820,2019-03-08,CA-2016-106306,2019-03-08,Same Day,Arizona,85301
San Francisco,TT-21220,2018-08-08,CA-2015-168564,2018-08-08,Same Day,California,94109
Baltimore,CM-12160,2019-10-21,CA-2016-111493,2019-10-22,First Class,Maryland,21215
San Diego,VG-21790,2017-11-24,CA-2014-158540,2017-11-26,First Class,California,92037
Newark,PK-19075,2020-11-07,CA-2017-132346,2020-11-11,Standard Class,Delaware,19711
Chicago,ZC-21910,2017-12-29,CA-2014-126802,2018-01-05,Standard Class,Illinois,60610
